"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address"
"https://www.radissonhotels.com/en-us/hotels/park-inn-aberdeen","Park Inn by Radisson Aberdeen","1 Justice Mill Lane","Aberdeen","<MISSING>","AB11 6EQ","United Kingdom","ABZPD","+ 44 (0) 1224 592 999","Hotel","57.14277","-2.10871","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-sochi-city-centre","Park Inn by Radisson Sochi City Centre","56 Gorkogo Street","Sochi","<MISSING>","354024","Russian Federation","AERPD","+7 (862) 2968228","Hotel","43.5906754","39.7274246","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-rosa-khutor","Park Inn by Radisson Rosa Khutor","5 Lavanda Embankment","Sochi","<MISSING>","354392","Russian Federation","AERPK","+7 (862) 243 1377","Hotel","43.6714745","40.294384","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-amsterdam-city","Park Inn by Radisson Amsterdam City West","La Guardiaweg 59","Amsterdam","<MISSING>","1043 DE","Netherlands","AMSPD","+31 (0) 20 242 00 00","Hotel","52.3901367","4.842565","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-amsterdam-schiphol-airport","Park Inn by Radisson Amsterdam Airport Schiphol","Beechavenue 142-160, Schiphol-Rijk","Amsterdam Airport Schiphol","<MISSING>","1119 PR","Netherlands","AMSPQ","+31 (0) 20 700 3800","Hotel","52.2790947","4.744116","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-ankara-cankaya","Park Inn by Radisson Ankara Cankaya","Alexsander Dubcek cad. no: 7","Ankara","<MISSING>","<MISSING>","Turkey","ANKPD","+ 90 (312) 439 7000","Hotel","39.8647041","32.8532677","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-antwerp-berchem","Park Inn by Radisson Antwerp Berchem","Borsbeeksebrug 34","Antwerp","<MISSING>","B-2600","Belgium","ANRPB","+32 3 432 77 00","Hotel","51.2003365","4.434408","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-antwerp","Park Inn by Radisson Antwerp","Koningin Astridplein","Antwerp","<MISSING>","2018","Belgium","ANRPD","+32 3 202 31 70","Hotel","51.2183876","4.421988","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-astrakhan","Park Inn by Radisson, Astrakhan","Anri Barbusa Street, 29","Astrakhan","<MISSING>","414056","Russian Federation","ASFPD","+ 7 (851) 2 290 120","Hotel","46.36171","48.0572853","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-abu-dhabi-yas-island","Park Inn by Radisson Abu Dhabi, Yas Island","Yas Island","Abu Dhabi","<MISSING>","93725","United Arab Emirates","AUHPY","+971 (2) 6562222","Hotel","24.4678535","54.5986671","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-baku","Park Inn by Radisson Baku Hotel","Azadlig Avenue 1","Baku","<MISSING>","AZ 1000","Azerbaijan","BAKPD","+994 12 490 6000","Hotel","40.3712845","49.8488","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-berlin-alexanderplatz","Park Inn by Radisson Berlin Alexanderplatz","Alexanderplatz 7","Berlin","<MISSING>","10178","Germany","BERP1","+49 (30) 2389 0","Hotel","52.5228539","13.4128695","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-belfast","Park Inn by Radisson Belfast","4 Clarence Street West","Belfast","<MISSING>","BT2 7GP","United Kingdom","BFSPD","+44 (28) 9067 7700","Hotel","54.594017","-5.931947","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-birmingham-walsall","Park Inn by Radisson Birmingham Walsall","Bescot Crescent, Walsall","Birmingham","<MISSING>","WS1 4SE","United Kingdom","BHXP2","+44 1922 639 100","Hotel","52.56439","-1.98951","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-brussels-midi","Park Inn by Radisson Brussels Midi","Place Marcel Broodthaers Plein 3","Brussels","<MISSING>","B-1060","Belgium","BRUPM","+32 (0) 2 535 14 00","Hotel","50.83558","4.338934","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-brussels-airport","Park Inn by Radisson Brussels Airport","Grensstraat 3, Diegem","Brussels","<MISSING>","1831","Belgium","BRUPQ","+32 (0) 2 302 75 00","Hotel","50.88286","4.449076","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-bratislava-danube","Park Inn by Radisson Danube Bratislava","Rybne Namestie 1","Bratislava","<MISSING>","81102","Slovakia","BTSPD","+421 259340000","Hotel","48.1402168","17.10595","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-budapest","Park Inn by Radisson Budapest","Szekszárdi Utca 16–18","Budapest","<MISSING>","1138","Hungary","BUDPB","+36 (1) 688 4900","Hotel","47.5531731","19.0780544","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-bucharest","Park Inn by Radisson Bucharest Hotel & Residence","2-4 Luterana Street","Bucharest","<MISSING>","10162","Romania","BUHPD","+40 21 601 3600","Hotel","44.4413338","26.0927811","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-cologne-city","Park Inn by Radisson Cologne City West","Innere Kanalstrasse 15","Cologne","<MISSING>","D-50823","Germany","CGNP2","+49 221 5701 0","Hotel","50.93966","6.924565","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-copenhagen-airport","Park Inn by Radisson Copenhagen Airport","Engvej 171","Copenhagen","<MISSING>","DK-2300","Denmark","CPHP1","+45 32 870 202","Hotel","55.6453934","12.6372709","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-cape-town-foreshore","Park Inn by Radisson Cape Town Foreshore","29 Heerengracht","Cape Town","<MISSING>","8000","South Africa","CPTPB","+27 (21) 427 4800","Hotel","-33.9187546","18.4259071","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-cape-town-newlands","Park Inn by Radisson Cape Town Newlands","10 Hemlock Street","Cape Town","<MISSING>","7700","South Africa","CPTPN","+27 (21) 8226500","Hotel","-33.97655","18.4655647","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-cardiff-city-centre","Park Inn by Radisson Cardiff City Centre","Mary Ann Street","Cardiff","<MISSING>","CF10 2JH","United Kingdom","CWLPJ","+44 2920 341 441","Hotel","51.4783936","-3.172361","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-al-khobar","Park Inn by Radisson Al Khobar","Al Rawabi District,King Faisal","Al Khobar","<MISSING>","31952","Saudi Arabia","DHAPD","+966 13 8100800","Hotel","26.3292675","50.21126","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-dresden","Park Inn by Radisson Dresden","Melanchthonstrasse 2","Dresden","<MISSING>","D-01099","Germany","DRSPD","+49 351 80610","Hotel","51.0601158","13.7519855","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-dubai-motor-city","Park Inn by Radisson Dubai Motor City","Turin Boulevard Road 125/126","Dubai","<MISSING>","<MISSING>","United Arab Emirates","DXBPG","+ 971 (4) 249 4100","Hotel","25.04764","55.2428246","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-najran","Park Inn by Radisson Najran","Land Plot B, Alfahad District","Najran City","<MISSING>","<MISSING>","Saudi Arabia","EAMPD","+966 17 5447800","Hotel","17.5682888","44.23045","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-papenburg","Park Inn by Radisson Papenburg","Hauptkanal Rechts 7","Papenburg","<MISSING>","D-26871","Germany","EMEPD","+49 49 616 6400","Hotel","53.0859451","7.388145","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-frankfurt-airport","Park Inn by Radisson Frankfurt Airport","Amelia-Mary-Earhart-Str.10","Frankfurt","<MISSING>","60549","Germany","FRAPQ","+49 (69) 900276 0","Hotel","50.0553436","8.593451","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-glasgow-city-centre","Park Inn by Radisson Glasgow City Centre","139-141 West George Street","Glasgow","<MISSING>","G2 2JJ","United Kingdom","GLAPD","+44 141 221 1211","Hotel","55.862278","-4.256634","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-haugesund-airport","Park Inn by Radisson Haugesund Airport","Helganesveien 24, Avaldsnes","Haugesund","<MISSING>","4262","Norway","HAUPD","+47 5286 1090","Hotel","59.3416367","5.274639","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-yaroslavl","Park Inn by Radisson Yaroslavl","Pavlika Morozova Str. 3B","Yaroslavl","<MISSING>","150054","Russian Federation","IARPD","+7 4852 770088","Hotel","57.6280022","39.83477","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-kyiv-troyitska","Park Inn by Radisson Kyiv Troyitska","55, Velyka Vasylkivska Str.","Kyiv","<MISSING>","3150","Ukraine","IEVPT","+380 44 586 29 00","Hotel","50.43222","30.5180283","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-izhevsk","Park Inn by Radisson Izhevsk","Borodina, 25","Izhevsk","<MISSING>","426000","Russian Federation","IJKPD","+ 7 3412 930010","Hotel","56.85215","53.2073135","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-new-delhi-ip-extension","Park Inn by Radisson New Delhi IP Extension","Plot No. 6A","New Delhi","<MISSING>","110092","India","INDEXTN","+91 011 66336000","Hotel","28.6299458","77.31486","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-gurgaon-bilaspur","Park Inn by Radisson Bilaspur","NH-8, Bilaspur","Gurugram","<MISSING>","122413","India","INDGGBS","+1 800 1080 333","Hotel","28.2952576","76.86505","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-gurgaon","Park Inn, Gurgaon","Civil Lines,","Gurugram","<MISSING>","122001","India","INDGUPD","+91 1244795555","Hotel","28.45501","77.0319748","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-jaipur-jai-singh-highway","Park Inn Jaipur Jai Singh Highway","A-28/C/3, Sawai Jaisingh Hwy","Jaipur","<MISSING>","302016","India","INDJAIS","+91 1414151000","Hotel","26.9226151","75.79401","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-new-delhi-lajpat-nagar","Park Inn by Radisson New Delhi Lajpat Nagar","1&amp;2, Ring Road,","New Delhi","<MISSING>","110024","India","INDNDLN","+91 11 4651 5151","Hotel","28.56376","77.23483","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-resort-goa-phoenix","Park Inn by Radisson Goa Candolim","Sequera Vado, Candolim","Goa","<MISSING>","403515","India","INDPHGOA","+91 832 6633333","Hotel","15.51486","73.7696457","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-amritsar-airport","Park Inn by Radisson Amritsar Airport","Opposite International Airport, Adjoining Radisson Blu","Amritsar","<MISSING>","143001","India","INDPIAA","1 800 1080 333","Hotel","31.7065277","74.8192749","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-gwalior","Park Inn by Radisson Gwalior","Beside DB Mall, Opposite Gwalior Railway Station, Race Course Road","Gwalior","<MISSING>","474002","India","INDPIGW","+91 751 4230000","Hotel","26.21561","78.18447","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-istanbul-atasehir","Park Inn by Radisson Istanbul Atasehir","Kible Street No. 25, Serifali Mahallesi","Istanbul","<MISSING>","34775","Turkey","ISTPA","+90 216 251 69 00","Hotel","40.9971123","29.14365","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-istanbul-asia-kavacik","Park Inn by Radisson Istanbul Asia Kavacik","Kavacik Mh., Erturk Sk. No. 1","Istanbul","<MISSING>","34810","Turkey","ISTPI","+90 216 693 34 34","Hotel","41.0927238","29.0949173","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-istanbul-odayeri","Park Inn by Radisson Istanbul Airport, Odayeri","Odayeri Mah. Selcuk Bey Sok. No. 27","Istanbul","<MISSING>","34076","Turkey","ISTPO","+90 212 377 11 77, +90 532 290 50 55","Hotel","41.23695","28.854454","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-istanbul-ataturk-airport","Park Inn by Radisson Istanbul Ataturk Airport","Halkali Merkez Mahallesi Fatih","Istanbul","<MISSING>","34303","Turkey","ISTPQ","+90 (212) 999 67 77","Hotel","41.02955","28.8064251","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-izmir","Park Inn by Radisson Izmir","Cumhuriyet Bulvari No: 124","Izmir","<MISSING>","35210","Turkey","IZMPD","+90 232 4044242","Hotel","38.4271164","27.1334019","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-madinah-road-jeddah","Park Inn by Radisson Jeddah Madinah Road","Abi Haitham Al Ansari Street, Al Mohammadiyyah District","Jeddah","<MISSING>","23623","Saudi Arabia","JEDPM","+966 12 51 11 8 99","Hotel","21.65086","39.1390076","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-johannesburg-sandton","Park Inn by Radisson Sandton","118 Katherine Street","Johannesburg","<MISSING>","2146","South Africa","JNBPS","+ 27 (11) 303 1000","Hotel","-26.10551","28.0681038","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-duqm","Park Inn by Radisson Hotel & Residence Duqm","Wadi Say Al Wusta Al Wusta","Duqm","<MISSING>","<MISSING>","Oman","JNJPD","+968 2208 5700","Hotel","19.5648327","57.69578","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-kigali","Park Inn by Radisson Kigali","c/o Avenue de Kiyovu and Res des Parcs","Kigali","<MISSING>","<MISSING>","Rwanda","KGLPD","+250 788 132500","Hotel","-1.951657","30.070755","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-krakow","Park Inn by Radisson Krakow","Ul. Monte Cassino 2","Krakow","<MISSING>","30-337","Poland","KRKPD","+48 (12) 375 55 55","Hotel","50.0473557","19.9302139","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-katowice","Park Inn by Radisson Katowice","Bytkowska 1a","Katowice","<MISSING>","40-147","Poland","KTWPD","+48 32 721 11 11","Hotel","50.29008","19.00548","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-kazan","Park Inn by Radisson Kazan","Ul. Lesgafta 7","Kazan","<MISSING>","420043","Russian Federation","KZNPB","+7 (843) 2352350","Hotel","55.787075","49.1425819","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-luebeck","Park Inn by Radisson Lübeck","Willy Brandt Allee 1-5","Lubeck","<MISSING>","23554","Germany","LBCPD","+49 (451) 15040","Hotel","53.8676","10.67685","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-libreville","Park Inn by Radisson Libreville","7, Boulevard de Nice","Libreville","<MISSING>","2254","Gabon","LBVPD","+241 01144 8000","Hotel","0.43019","9.419632","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-congress-st-petersburg-pribaltiyskaya","Park Inn by Radisson Pribaltiyskaya Hotel & Congress Center","14 Korablestoiteley St","St. Petersburg","<MISSING>","199226","Russian Federation","LEDP2","+7 812 329 2626","Hotel","59.9388962","30.21487","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-conference-st-petersburg-pulkovskaya","Park Inn by Radisson Pulkovskaya Hotel & Conference Centre St Petersburg","Pobedy Square 1","St. Petersburg","<MISSING>","196240","Russian Federation","LEDPD","+7 812 740 3900","Hotel","59.8423157","30.3189716","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
"https://www.radissonhotels.com/en-us/hotels/park-inn-st-petersburg-nevsky","Park Inn by Radisson Nevsky St. Petersburg","4 Lit. A, Goncharnaya Street","St. Petersburg","<MISSING>","191036","Russian Federation","LEDPN","+7 (812) 406 73 10","Hotel","59.93004","30.3643322","https://www.radissonhotels.com/en-us/destination","<MISSING>","<MISSING>"
